Name,URL
Bahaia Blanca Open Data,http://bahiablanca.opendata.junar.com/home/
La Nacion,http://data.lanacion.com.ar/
Instituto Nacional De EstadÃ­stica Y Censos,http://indec.mecon.ar
Institute Of Geological Sciences (igs),http://geology.am
Australian Bureau Of Statistics,http://abs.gov.au
"City Of Launceston, Tas",http://data.gov.au/organization/cityoflaunceston
"Melbourne, Vic",http://data.gov.au/organization/cityofmelbourne
Tasmania - Land Property And Titles,http://dpipwe.tas.gov.au/land-property-titles/
Western Australia - Landgate,http://landgate.wa.gov.au
Local Government Data,http://localdata.net.au/
Research Data Australia,http://researchdata.ands.org.au/
South Australia Housing Property And Land,http://sa.gov.au/topics/housing-property-and-land
Australian Antarctica Data Centre,http://www1.data.antarctica.gov.au/
Dataact (australian Capital Territory),https://data.act.gov.au/
Geologische Bundesanstalt,http://geologie.ac.at
Vienna Open Data,http://open.wien.at/site/datenkatalog/
Open Data Portal Austria,http://opendataportal.at/
Vorarlberg Open Data,http://vorarlberg.gv.at/
Geological Institute - National Academy Of Science,http://gia.az
Central Informatics Organisation,http://cio.gov.bh
Geological Survey Of Bangladesh,http://gsb.gov.bd
Ministry Of Education,http://moedu.gov.bd
Belgium Government Open Data,http://data.gov.be/
Statistics Belgium,http://statbel.fgov.be
Brussels Open Data,http://www.brussels.be/artdet.cfm/7191
Belgium Meteorological Office,http://www.meteo.be
Institut National De La Statistique Et De L'nalyse Economique,http://insae-bj.org
Brazil Open Data,http://br.ckan.net/
Geological Survey Of Brazil (cprm),http://cprm.gov.br
Alagoas,http://dados.al.gov.br/
Porto Alegre Open Data,http://datapoa.com.br/
Direction De La MÃ©tÃ©orologie,http://meteo-burkina.net/
Alberta Geological Survey,http://ags.gov.ab.ca
"Ariel Photos Of Banff, Ab",http://banff.ca/index.aspx?nid=885
"Windsor, On Open Data",http://citywindsor.ca/opendata
Canada Climate Data,http://climate.weather.gc.ca/
Capital Regional District Atlas,http://crdatlas.ca/geospatial-data.aspx
QuÃ©bec,http://data.gouv.qc.ca/
"Medicine Hat, Alberta",http://data.medicinehat.ca/
"Nanaimo, British Columbia",http://data.nanaimo.ca/
Winnipeg Open Data,http://data.winnipeg.ca
"MontrÃ©al, QuÃ©bec",http://donnees.ville.montreal.qc.ca/
"Fredericton, Nb Open Data",http://fredericton.ca/en/citygovernment/datamain.asp
Prince Edward Island Gis Data Layers,http://gov.pe.ca/gis/
"Milton, On Open Data",http://icreateopendata.public.esolutionsgroup.ca/
Nova Scotia Geonova,http://novascotia.ca/geonova
Newfoundland & Labrador Geological Survey,http://nr.gov.nl.ca/mines&en/geosurvey
"Saskatoon, Sk Open Data",http://opendata-saskatoon.cloudapp.net/
"Prince George, British Columbia",http://princegeorge.ca/cityservices/online/odc/pages/documents.aspx
"Thunder Bay, On - Transit Api",http://thunderbay.ca/living/getting_around/thunder_bay_transit/developers_-_open_data.htm
"Toronto, On Open Data",http://toronto.ca/open
"Vancouver, Bc Open Data",http://vancouver.ca/your-government/open-data-catalogue.aspx
"Banff, Ab Open Data",http://www.banffopendata.ca
Canada,http://www.data.gc.ca/
Open Data Bc Crowdsourced Portal,http://www.opendatabc.ca
"Ottawa, Ontario",http://www.ottawa.ca/en/city_hall/statisticsdata/opendata/info/index.htm
"Regional District Of North Okanagan, British Columbia",http://www.rdno.ca/index.php/maps/digital-data
"Saskatoon, Saskatchewan",http://www.saskatoon.ca/departments/corporate%20services/corporate%20information%20services/opendata/pages/opendata.aspx
Caribbean Community Regional Statistics,http://caricomstats.org
RÃ©publique Direction GÃ©nÃ©rale De La Statistique,http://stat-centrafrique.com/
CatÃ¡logo Nacional De InformaciÃ³n Geoespacial,http://geoportal.cl
Cgn,http://cgn.ac.cn
China Meteorological Administration,http://cma.gov.cn/
International Union Of Geological Scientists,http://iugs.org/
Lands Department,http://landsd.gov.hk
Fengyun Satellite Data Center,http://satellite.cma.gov.cn/portalsite/data/satellite.aspx
"Instituto De HidrologÃ­a, MeteorologÃ­a Y Estudios Ambientales",http://ideam.gov.co/
Centre National De La Statistique Et Des Etudes Economiques,http://cnsee.org
Direction De La MÃ©tÃ©orologie Nationale,http://meteo congo
African Development Bank Group Open Data,http://rcongo.opendataforafrica.org/
Cook Islands Statistics Office,http://mfem.gov.ck
Association Of European Geological Societies,http://aegs.it
Hrvatski Geloski Institut,http://hgi-cgs.hr
Meteorological And Hydrological Service,http://meteo.hr
Czech Geological Society,http://geologickaspolecnost.cz
Ministry Of Education And Human Resource Development,http://dominica.gov.dm/education-and-human-resource-development
Encuesta Nacional De Hogares De PropÃ³sitos MÃºltiples,http://one.gov.do
General Directorate Of Statistics,http://statistics.gov.tl
Estadistico Instituto Nacional De EstadÃ­stica Y Censos,http://inec.gob.ec/estadisticas/
Trafford Open Data,http://www.trafford.gov.uk/opendata
African Development Bank Group Open Data,http://equinea.opendataforafrica.org/
Place Names Board Of Estonia,http://eki.ee/knn
European Commission Eurostat,http://epp.eurostat.ec.europa.eu/portal/page/portal/statistics/themes
Ess-eric,http://europeansocialsurvey.org/data/
Engage European Open Data,http://www.engagedata.eu/opendatasites
Finish Transport Agency Api,http://developer.matka.fi
Tampere Public Transport - Api,http://developer.publictransport.tampere.fi
Research Institute For The Languages Of Finland - Names Of Countries In Seven Languages,http://kaino.kotus.fi/maidennimet/index.php?h=en
Oulu Open Data,http://ouka.fi/oulu/english/open-data
Infogreffe Open Data,http://datainfogreffe.fr/
Grand Lyon Data Catalog,http://catalogue.data.grandlyon.com/
Department Loire-atlantique Open Data,http://data.loire-atlantique.fr/
MÃ©tÃ©o-france Polynesie Francaise,http://meteo.pf/
DÃ©partement De La Moselle,http://moselleopendata.fr/
Open Data Ville De Bordeaux,http://opendata.bordeaux.fr/
Afganistan Open Data Project,http://afghanistandataproject.org
Albanian Geological Survey,http://gsa.gov.al/
Service Geologique National Algeria,http://mem-algeria.org
Office National Des Statistiques,http://ons.dz
African Development Bank Group Open Data,http://angolia.opendataforafrica.org/
Instituto Nacional De EstatÃ­stica,http://ine.gov.ao
Buenos Aires Data,http://data.buenosaires.gob.ar/
Argentine Government Open Data,http://datospublicos.gob.ar
Instituto GeogrÃ¡fico Nacional,http://ign.gob.ar
Armenian State Hydrometeorological And Monitoring Service,http://meteo.am/
Asturias Public Data,http://risp.asturias.es
"Brisbane, Qld Open Data",http://data.brisbane.qld.gov.au/
Australian Government Catalogue,http://data.gov.au
"City Of Greater Geelong, Vic",http://data.gov.au/organization/city-of-greater-geelong
Mosman Council Open Data,http://data.mosman.nsw.gov.au
Census & Statistics,http://norfolkisland.gov.nf
Australian Capital Territory Open Data,http://www.data.act.gov.au/
Victorian Government Data Directory,http://www.data.vic.gov.au
Austrian Government Open Data,http://data.gv.at
Vorarlberg,http://data.vorarlberg.gv.at/
